Site,Project,Wetland Type,Latitude,Longitude,County,Ecoregion,Mitigation Site Type,Long Term,Year Project Began,Year Project Ended,Vegetation,Macroinvertebrates,Amphibians,Soil Chemistry,Water Quality,Hydrology,Rapid Assessments
Bladen 2,SEIWA IWC,Basin,34.679662,-78.571831,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 6,SEIWA IWC,Basin,34.65842,-78.579897,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 7,SEIWA IWC,Basin,34.664842,-78.552803,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 9,SEIWA IWC,Basin,34.69370611,-78.56349722,Bladen,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Green Swamp 1,SEIWA IWC,Basin,34.0546378,-78.27885336,Brunswick,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Green Swamp 2,SEIWA IWC,Basin,34.063233,-78.266381,Brunswick,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
LB,SEIWA IWC,Basin,33.815767,-78.867961,Horry,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MA,SEIWA IWC,Basin,33.94923611,-79.45748889,Marion,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
MF,SEIWA IWC,Basin,33.96465,-79.44609444,Marion,Coastal Plain,,N,2010,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Bladen 13,SEIWA_L2,Pocosin,34.688,-78.4772,Bladen,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Bladen 15,SEIWA_L2,Pocosin,34.4943,-78.3038,Bladen,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Bladen 22,SEIWA_L2,Basin,34.4901,-78.7875,Bladen,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Bladen 5,SEIWA_L2,Basin,34.5,-78.8152,Bladen,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 10,SEIWA_L2,Basin,34.2017,-78.167,Brunswick,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 19,SEIWA_L2,Basin,34.2648,-78.111,Brunswick,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 26,SEIWA_L2,Basin,34.0816,-77.9622,Brunswick,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 5,SEIWA_L2,Basin,33.98983,-78.386475,Brunswick,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 9,SEIWA_L2,Basin,34.1528,-78.2111,Brunswick,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick L3.1,SEIWA_L2,Basin,34.054144,-78.276853,Brunswick,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Brunswick L3.2,SEIWA_L2,Basin,34.0539,-78.2765,Brunswick,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Columbus 1,SEIWA_L2,Basin,34.214,-78.8083,Columbus,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Columbus 11,SEIWA_L2,Basin,34.2366,-78.8539,Columbus,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Columbus 20,SEIWA_L2,Pocosin,34.3791,-78.5435,Columbus,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Columbus 24,SEIWA_L2,Basin,34.3394,-78.6361,Columbus,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Columbus 4,SEIWA_L2,Pocosin,34.2513,-78.3999,Columbus,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Dillon 9,SEIWA_L2,Basin,34.4636,-79.5326,Dillon,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Florence 12,SEIWA_L2,Basin,33.860888,-79.497764,Florence,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Florence 14a,SEIWA_L2,Basin,33.8919,-79.492,Florence,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Florence 18,SEIWA_L2,Basin,34.0073,-79.844,Florence,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 18,SEIWA_L2,Basin,33.99492276,-78.72350442,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 19,SEIWA_L2,Pocosin,33.93878031,-78.72702824,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 22,SEIWA_L2,Basin,33.85483509,-79.00197518,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 29a,SEIWA_L2,Basin,33.83447525,-78.71473238,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 29b,SEIWA_L2,Basin,33.83447525,-78.71473238,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 29c,SEIWA_L2,Basin,33.83447525,-78.71473238,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 29d,SEIWA_L2,Basin,33.83447525,-78.71473238,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 32,SEIWA_L2,Basin,33.63157397,-79.02151813,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 35,SEIWA_L2,Basin,33.90050572,-78.60132986,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Horry 4,SEIWA_L2,Basin,33.89874192,-79.11098962,Horry,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Marion 2a,SEIWA_L2,Basin,33.7687,-79.2834,Marion,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Marion 2b,SEIWA_L2,Basin,33.7687,-79.2834,Marion,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Marion 2c,SEIWA_L2,Basin,33.7687,-79.2834,Marion,Coastal Plain,,N,2008,2009,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Marion 3,SEIWA_L2,Basin,33.775,-79.2736,Marion,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Marion 7,SEIWA_L2,Basin,33.9839,-79.3682,Marion,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Robeson 10,SEIWA_L2,Basin,34.681,-78.8503,Robeson,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Robeson 13,SEIWA_L2,Basin,34.576122,-79.242333,Robeson,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Robeson 19,SEIWA_L2,Basin,34.7157,-78.9631,Robeson,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Robeson 22,SEIWA_L2,Basin,34.6516,-79.0927,Robeson,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Robeson 4,SEIWA_L2,Basin,34.559,-79.3214,Robeson,Coastal Plain,,N,2008,2008,No,No,No,No,No,No,Yes
Brunswick 17,"SEIWA_L2, SEIWA IWC",Basin,33.9059,-78.5292,Brunswick,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Brunswick 4,"SEIWA_L2, SEIWA IWC",Basin,34.007106,-78.393656,Brunswick,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Brunswick 7,"SEIWA_L2, SEIWA IWC",Basin,33.994434,-78.335464,Brunswick,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Columbus 26,"SEIWA_L2, SEIWA IWC",Basin,34.364247,-78.724947,Columbus,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Florence 14b,"SEIWA_L2, SEIWA IWC",Basin,33.8919,-79.492,Florence,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Horry 1,"SEIWA_L2, SEIWA IWC",Basin,33.83712,-79.11716,Horry,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Horry 28,"SEIWA_L2, SEIWA IWC",Basin,33.83939577,-78.72606423,Horry,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Horry 41,"SEIWA_L2, SEIWA IWC",Basin,34.06267742,-78.8945831,Horry,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Robeson 1,"SEIWA_L2, SEIWA IWC",Basin,34.5891,-79.353,Robeson,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Robeson 7,"SEIWA_L2, SEIWA IWC",Basin,34.8387,-78.9267,Robeson,Coastal Plain,,N,2008,2011,Yes,Yes,Yes,Yes,Yes,Yes,Yes
17 Frog Pond,WRC Aquatic Biota,Basin,34.99004667,-79.51086688,Scotland,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Block O Pond,WRC Aquatic Biota,Basin,34.93969368,-79.61685529,Richmond,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Block T Pond,WRC Aquatic Biota,Basin,34.97518429,-79.595167,Richmond,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Brandon's Pond,WRC Aquatic Biota,Basin,34.72323201,-76.95923063,Carteret,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Braswell Pond,WRC Aquatic Biota,Basin,34.765424,-77.061497,Carteret,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Cypress Pond,WRC Aquatic Biota,Basin,33.98701226,-78.02093695,Brunswick,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Dover Bay,WRC Aquatic Biota,Basin,35.208709,-77.333405,Craven,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Gum Pond,WRC Aquatic Biota,Non-Riverine Swamp Forest,34.80412186,-77.08414805,Carteret,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Juniper Bay,WRC Aquatic Biota,Basin,34.507102,-79.0268,Robeson,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Little Little Dismal Pond,WRC Aquatic Biota,Basin,34.90627658,-79.59720017,Richmond,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Parker Farms,WRC Aquatic Biota,Hardwood Flat,35.234911,-76.728113,Beaufort,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Pulpwood Pond,WRC Aquatic Biota,Basin,34.94826221,-79.51773675,Scotland,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Slate Circle Pond,WRC Aquatic Biota,Basin,34.99442228,-79.46332132,Scotland,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Stone Farm,WRC Aquatic Biota,Basin,33.91689543,-78.53035545,Brunswick,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Swain Pond,WRC Aquatic Biota,Basin,33.98800004,-78.01501432,Brunswick,Coastal Plain,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
Tiger Pond,WRC Aquatic Biota,Basin,34.90225818,-79.58490713,Richmond,Sandhills,,N,2013,2015,Yes,Yes,Yes,No,Yes,Yes,Yes
